Smartphone,799.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Laptop,1249.50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Smartwatch,249.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wireless_Earbuds,149.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Smart_TV,899.00,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Coffee_Maker,75.50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Toaster,45.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blender,89.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vacuum_Cleaner,199.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Desk_Lamp,35.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T-Shirt,19.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jeans,59.90,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dress,79.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sneakers,89.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jacket,120.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fiction_Novel,14.95,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cookbook,22.50,0,0,0,1,0,0,0,0,0,0,0,0,0,0
History_Book,18.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Children's_Book,9.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Self-Help_Book,16.50,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Coffee_Beans,12.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Organic_Tea,8.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chocolate_Bar,3.50,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pasta,2.20,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Olive_Oil,15.99,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shampoo,9.50,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Toothpaste,4.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Face_Moisturizer,29.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sunscreen,11.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vitamin_Supplements,18.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Yoga_Mat,29.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Running_Shoes,95.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Camping_Tent,150.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Backpack,65.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Water_Bottle,12.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Action_Figure,15.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Board_Game,25.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Building_Blocks,40.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Remote_Control_Car,30.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Puzzle,12.50,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Car_Air_Freshener,5.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Car_Floor_Mats,49.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jump_Starter,85.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tire_Pressure_Gauge,10.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Car_Phone_Holder,17.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dog_Food,35.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cat_Litter,20.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pet_Bed,45.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pet_Toys,8.99,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fish_Tank,60.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Garden_Hose,25.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gardening_Gloves,10.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Flower_Seeds,4.50,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Plant_Pots,15.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fertilizer,18.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,7.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pens,5.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Stapler,12.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Printer_Paper,20.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Desk_Organizer,14.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Necklace,80.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Earrings,50.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bracelet,65.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ring,110.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Watch_(non-smart),180.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Paint_Set,30.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sketchbook,9.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Color_Pencils,15.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Clay_Kit,22.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Canvas,8.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wireless_Charger,45.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Robot_Vacuum,350.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Winter_Coat,150.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Science_Fiction_Novel,17.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Energy_Drink,2.50,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Body_Lotion,14.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dumbbells,55.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Drone,400.00,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Car_GPS,180.00,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Cat_Tree,75.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Compost_Bin,40.00,0,1,0,0,0,0,0,0,0,0,1,0,0,0
